story,label
Tari tradisional daerah ini memukau semua penonton dan kain tenun buatan nenek menjadi simbol kebanggaan desa.,1
Orang-orang berkumpul untuk gotong royong membangun rumah adat dan festival budaya diadakan dengan meriah setiap tahun.,1
Lahan cagar budaya dijadikan kawasan industri dan museum desa sepi dan tidak terawat.,0
Tari tradisional daerah ini memukau semua penonton dan orang-orang berkumpul untuk gotong royong membangun rumah adat.,1
Anak muda kini tak lagi mengenal tarian tradisional dan tradisi lama dianggap kuno dan ditinggalkan.,0
Anak muda kini tak lagi mengenal tarian tradisional dan kesenian daerah hampir punah tanpa penerus.,0
Lagu daerah dinyanyikan dengan penuh semangat dan tari tradisional daerah ini memukau semua penonton.,1
Kesenian daerah hampir punah tanpa penerus dan anak muda kini tak lagi mengenal tarian tradisional.,0
Festival budaya diadakan dengan meriah setiap tahun dan tari tradisional daerah ini memukau semua penonton.,1
Kuliner khas desa kami diwariskan turun-temurun dan sangat lezat dan batik lokal mendapat pengakuan internasional.,1
Cerita rakyat digantikan oleh tayangan luar negeri dan pencurian artefak budaya terjadi di situs bersejarah.,0
Tradisi lama dianggap kuno dan ditinggalkan dan museum desa sepi dan tidak terawat.,0
Orang-orang berkumpul untuk gotong royong membangun rumah adat dan kuliner khas desa kami diwariskan turun-temurun dan sangat lezat.,1
Orang malu memakai bahasa daerah di depan umum dan lahan cagar budaya dijadikan kawasan industri.,0
Kesenian daerah hampir punah tanpa penerus dan anak muda kini tak lagi mengenal tarian tradisional.,0
Pakaian adat jarang dipakai kecuali saat upacara dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
Pakaian adat jarang dipakai kecuali saat upacara dan anak muda kini tak lagi mengenal tarian tradisional.,0
Museum desa sepi dan tidak terawat dan lahan cagar budaya dijadikan kawasan industri.,0
Orang malu memakai bahasa daerah di depan umum dan cerita rakyat digantikan oleh tayangan luar negeri.,0
Museum desa sepi dan tidak terawat dan pakaian adat jarang dipakai kecuali saat upacara.,0
Lahan cagar budaya dijadikan kawasan industri dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
Tari tradisional daerah ini memukau semua penonton dan upacara adat itu begitu sakral dan menghangatkan hati.,1
Kain tenun buatan nenek menjadi simbol kebanggaan desa dan tari tradisional daerah ini memukau semua penonton.,1
Lagu daerah dinyanyikan dengan penuh semangat dan cerita rakyat masih diceritakan setiap malam di rumah nenek.,1
Anak-anak muda mulai mencintai budaya leluhur mereka dan orang-orang berkumpul untuk gotong royong membangun rumah adat.,1
Festival budaya diadakan dengan meriah setiap tahun dan cerita rakyat masih diceritakan setiap malam di rumah nenek.,1
Kain tenun buatan nenek menjadi simbol kebanggaan desa dan orang-orang berkumpul untuk gotong royong membangun rumah adat.,1
Kesenian daerah hampir punah tanpa penerus dan pakaian adat jarang dipakai kecuali saat upacara.,0
Kain tenun buatan nenek menjadi simbol kebanggaan desa dan kuliner khas desa kami diwariskan turun-temurun dan sangat lezat.,1
Lagu daerah dinyanyikan dengan penuh semangat dan lagu daerah dinyanyikan dengan penuh semangat.,1
Tradisi lama dianggap kuno dan ditinggalkan dan anak muda kini tak lagi mengenal tarian tradisional.,0
Anak-anak muda mulai mencintai budaya leluhur mereka dan cerita rakyat masih diceritakan setiap malam di rumah nenek.,1
Pakaian adat jarang dipakai kecuali saat upacara dan tradisi lama dianggap kuno dan ditinggalkan.,0
Upacara adat itu begitu sakral dan menghangatkan hati dan batik lokal mendapat pengakuan internasional.,1
Festival budaya diadakan dengan meriah setiap tahun dan orang-orang berkumpul untuk gotong royong membangun rumah adat.,1
Orang malu memakai bahasa daerah di depan umum dan kesenian daerah hampir punah tanpa penerus.,0
Orang malu memakai bahasa daerah di depan umum dan pencurian artefak budaya terjadi di situs bersejarah.,0
Lagu daerah dinyanyikan dengan penuh semangat dan cerita rakyat masih diceritakan setiap malam di rumah nenek.,1
Lahan cagar budaya dijadikan kawasan industri dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
Lagu daerah dinyanyikan dengan penuh semangat dan kuliner khas desa kami diwariskan turun-temurun dan sangat lezat.,1
Lagu daerah dinyanyikan dengan penuh semangat dan upacara adat itu begitu sakral dan menghangatkan hati.,1
Lagu daerah dinyanyikan dengan penuh semangat dan anak-anak muda mulai mencintai budaya leluhur mereka.,1
Anak-anak muda mulai mencintai budaya leluhur mereka dan cerita rakyat masih diceritakan setiap malam di rumah nenek.,1
Cerita rakyat masih diceritakan setiap malam di rumah nenek dan orang-orang berkumpul untuk gotong royong membangun rumah adat.,1
Anak-anak muda mulai mencintai budaya leluhur mereka dan anak-anak muda mulai mencintai budaya leluhur mereka.,1
Kesenian daerah hampir punah tanpa penerus dan tradisi lama dianggap kuno dan ditinggalkan.,0
Anak-anak muda mulai mencintai budaya leluhur mereka dan kain tenun buatan nenek menjadi simbol kebanggaan desa.,1
Lagu daerah dinyanyikan dengan penuh semangat dan upacara adat itu begitu sakral dan menghangatkan hati.,1
Tradisi lama dianggap kuno dan ditinggalkan dan tradisi lama dianggap kuno dan ditinggalkan.,0
Tradisi lama dianggap kuno dan ditinggalkan dan tradisi lama dianggap kuno dan ditinggalkan.,0
Orang malu memakai bahasa daerah di depan umum dan tradisi lama dianggap kuno dan ditinggalkan.,0
Cerita rakyat digantikan oleh tayangan luar negeri dan lahan cagar budaya dijadikan kawasan industri.,0
Anak muda kini tak lagi mengenal tarian tradisional dan lahan cagar budaya dijadikan kawasan industri.,0
Pencurian artefak budaya terjadi di situs bersejarah dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
Museum desa sepi dan tidak terawat dan anak muda kini tak lagi mengenal tarian tradisional.,0
Anak muda kini tak lagi mengenal tarian tradisional dan pencurian artefak budaya terjadi di situs bersejarah.,0
Tari tradisional daerah ini memukau semua penonton dan tari tradisional daerah ini memukau semua penonton.,1
Anak muda kini tak lagi mengenal tarian tradisional dan cerita rakyat digantikan oleh tayangan luar negeri.,0
Batik lokal mendapat pengakuan internasional dan lagu daerah dinyanyikan dengan penuh semangat.,1
Batik lokal mendapat pengakuan internasional dan batik lokal mendapat pengakuan internasional.,1
Anak muda kini tak lagi mengenal tarian tradisional dan lahan cagar budaya dijadikan kawasan industri.,0
Cerita rakyat digantikan oleh tayangan luar negeri dan tradisi lama dianggap kuno dan ditinggalkan.,0
Anak-anak muda mulai mencintai budaya leluhur mereka dan kain tenun buatan nenek menjadi simbol kebanggaan desa.,1
Orang malu memakai bahasa daerah di depan umum dan museum desa sepi dan tidak terawat.,0
Orang-orang berkumpul untuk gotong royong membangun rumah adat dan kain tenun buatan nenek menjadi simbol kebanggaan desa.,1
Cerita rakyat digantikan oleh tayangan luar negeri dan cerita rakyat digantikan oleh tayangan luar negeri.,0
Anak muda kini tak lagi mengenal tarian tradisional dan kesenian daerah hampir punah tanpa penerus.,0
Anak muda kini tak lagi mengenal tarian tradisional dan orang malu memakai bahasa daerah di depan umum.,0
Lahan cagar budaya dijadikan kawasan industri dan cerita rakyat digantikan oleh tayangan luar negeri.,0
Anak muda kini tak lagi mengenal tarian tradisional dan lahan cagar budaya dijadikan kawasan industri.,0
Batik lokal mendapat pengakuan internasional dan festival budaya diadakan dengan meriah setiap tahun.,1
Pencurian artefak budaya terjadi di situs bersejarah dan pakaian adat jarang dipakai kecuali saat upacara.,0
Festival budaya diadakan dengan meriah setiap tahun dan tari tradisional daerah ini memukau semua penonton.,1
Orang malu memakai bahasa daerah di depan umum dan kesenian daerah hampir punah tanpa penerus.,0
Tari tradisional daerah ini memukau semua penonton dan lagu daerah dinyanyikan dengan penuh semangat.,1
Cerita rakyat digantikan oleh tayangan luar negeri dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
Kuliner khas desa kami diwariskan turun-temurun dan sangat lezat dan anak-anak muda mulai mencintai budaya leluhur mereka.,1
Tradisi lama dianggap kuno dan ditinggalkan dan tradisi lama dianggap kuno dan ditinggalkan.,0
Cerita rakyat digantikan oleh tayangan luar negeri dan warisan leluhur mulai dilupakan oleh generasi sekarang.,0
